No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
76|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091211C|502|TI091211 Manajemen Organisasi dan Sumber Daya Manusia - C|setting
77|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091433|503|TI091433 Manajemen Performansi|setting
78|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091308|504|TI091308 Manajemen Proyek|setting
79|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091308B|505|TI091308 Manajemen Proyek - B|setting
80|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091404|506|TI091404 Manajemen Teknologi|setting
81|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091450|507|TI091450 Manajemen Transportasi Udara|setting
82|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091101A|508|TI091101 Matematika Optimasi II - A|setting
83|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091101B|509|TI091101 Matematika Optimasi II - B|setting
84|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091101C|510|TI091101 Matematika Optimasi II - C|setting
85|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091101Q|511|TI091101 Matematika Optimasi II - Q|setting
86|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091416|512|TI091416 Metode Heuristics|setting
87|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091315|513|TI091315 Pemodelan Sistem|setting
88|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091315B|514|TI091315 Pemodelan Sistem - B|setting
89|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091315C|515|TI091315 Pemodelan Sistem - C|setting
90|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091306A|516|TI091306 Penelitian Operasional I - A|setting
91|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091306B|517|TI091306 Penelitian Operasional I - B|setting
92|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091306C|518|TI091306 Penelitian Operasional I - C|setting
93|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091306Q|519|TI091306 Penelitian Operasional I - Q|setting
94|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091418|520|TI091418 Pengambilan Keputusan Kriteria Majemuk|setting
95|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091419|521|TI091419 Pengukuran Kinerja|setting
96|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091319A|522|TI091319 Perancangan Sistem Industri - A|setting
97|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091319B|523|TI091319 Perancangan Sistem Industri - B|setting
98|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091319C|524|TI091319 Perancangan Sistem Industri - C|setting
99|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091319D|525|TI091319 Perancangan Sistem Industri - D|setting
100|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091319E|526|TI091319 Perancangan Sistem Industri - E|setting
101|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091302A|527|TI091302 Proses Manufaktur - A|setting
102|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091302B|528|TI091302 Proses Manufaktur - B|setting
103|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091302C|529|TI091302 Proses Manufaktur - C|setting
104|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091302Q|530|TI091302 Proses Manufaktur - Q|setting
105|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091317A|531|TI091317 Simulasi Sistem Industri - A|setting
