No|Kategori|Matakuliah
144|Bahasa Inggris|TPB Bahasa Inggris Kelas 29
145|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Analisis Multivariat
146|TPB - Fisika Dasar|FISIKA DASAR II (Kelas TPB04 dan TPB16)
147|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Mata Kuliah FASILITATOR copy 1
148|Mata Kuliah Program Kerjasama|Academic Presentation
149|Fisika|Elektro Digital - New
150|2014-2015 Gasal|Struktur Beton Dasar
151|Backup PDITT|20140825 Sistem Pengendalian Otomatis
152|Backup PDITT|20140723 Ilmu Ukur Tanah
153|2014-2015 Gasal|Pemetaan I (D3 / 4SKS)
154|2014-2015 Gasal|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)
155|BIDANG KEAHLIAN STRUKTUR|Optimasi dalam Rekayasa Sipil
156|BIDANG KEAHLIAN STRUKTUR|Teori Pelat dan Cangkang
157|BIDANG KEAHLIAN STRUKTUR|Struktur Baja Lanjut
158|BIDANG KEAHLIAN STRUKTUR|Keandalan Struktur
159|BIDANG KEAHLIAN STRUKTUR|Metodologi Penelitian dan Laporan Ilmiah
160|BIDANG KEAHLIAN STRUKTUR|Perilaku Daktail Struktur Beton
161|BIDANG KEAHLIAN STRUKTUR|Perilaku Daktail Struktur Baja
162|BIDANG KEAHLIAN STRUKTUR|Metode Elemen Hingga
163|BIDANG KEAHLIAN STRUKTUR|Dinamika Struktur
164|BIDANG KEAHLIAN STRUKTUR|Perilaku Daktail Elemen Beton
165|BIDANG KEAHLIAN STRUKTUR|Teori Elastisitas
166|BIDANG KEAHLIAN STRUKTUR|Matematika Rekayasa
167|BIDANG KEAHLIAN GEOTEKNIK|Mekanik Tanah Lanjut
168|BIDANG KEAHLIAN GEOTEKNIK|Tanah Gambut
169|BIDANG KEAHLIAN GEOTEKNIK|Metodologi Penelitian
170|BIDANG KEAHLIAN GEOTEKNIK|Rekayasa Pondasi dan Pemodelan Geoteknik
171|BIDANG KEAHLIAN GEOTEKNIK|Rheologi dan Perilaku Mikroskopis Tanah
172|BIDANG KEAHLIAN GEOTEKNIK|Mekanika Batuan
173|BIDANG KEAHLIAN GEOTEKNIK|Pengujian Tanah lanjut dan Intepretasinya
174|BIDANG KEAHLIAN GEOTEKNIK|Analisa Data dan Keandalan Untuk Geoteknik
175|BIDANG KEAHLIAN GEOTEKNIK|Matematika Rekayasa
176|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Strategi
177|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Desain
178|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Utilitas
179|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Informasi proyek
180|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Teknologi Konstruksi
181|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Metodologi Penelitian
182|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Sumber Daya Manusia
183|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Kualitas dan Resiko
184|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Pengadaan dan Kontrak Konstruksi
185|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Proyek
186|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Manajemen Keuangan dan Akutansi
187|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Analisa Sistem dan Pengambilan Keputusan
188|BIDANG KEAHLIAN MANAJEMEN PROYEK KONSTRUKSI|Statistik Terapan
189|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Aspek Lingkungan pada pengelolaan SDA
190|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Manajemen Sumber Daya Air Terpadu
191|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Hidrolika Sungai dan Perpipaan
192|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Data Driven dan Computational Intelegence
193|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Metodologi Penelitian
194|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Hidrologi
195|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Pemrograman Komputer dan Sistem Informasi
196|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Analisa Sumber Daya Air
197|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Aplikasi Statistika untuk keairan
198|BIDANG KEAHLIAN MANAJEMEN REKAYASA SUMBER DAYA AIR|Aplikasi Matematila Untuk Keairan
199|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Sistem Transportasi masal
200|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Fasilitas Transportasi dan Perpindahan Moda
201|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Pemodelan Transportasi
202|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Rekayasa Jalan Raya dan Perkerasan
203|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Ekonomi Transportasi
204|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Rekaya dam Manajemen Lalu Lintas
205|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Sistem dan perencanaan Transportasi
206|BIDANG MANAJEMEN REKAYASA TRANSPORTASI|Metode Kuatitatif untuk Rekayasa Transportasi
207|2014-2015 Gasal|Metode Kuantitafif dan Bisnis
208|PEKERTI ITS 4-6 NOPEMBER 2014|MATERI PEKERTI
209|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 05
210|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Perencanaan Bandara
211|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Satelit Altimetri (Responsi)
212|Mata Kuliah untuk Umum|Pelatihan Pekerti - ITATS
213|Backup PDITT|TK141223 Kimia Analisa
